YB,l,b,r,dl,db,dr,hit rate
270,10.26480926,0.074433899,0.002470973,0.000377043,0.000469773,0.000893262,0.538461538
271,10.28688331,-0.108709023,0.002036732,0.000416464,0.000177033,0.000761945,0.2
272,10.29157516,-0.130640889,0.004531035,0.000952248,0.000469533,0.001186712,0.5
273,10.2941937,-0.144340607,0.003178509,0.000624514,0.000416765,0.001316926,0.5
274,10.29479318,-0.158432938,0.004623322,0.000976749,0.000687825,0.000498069,0.277777778
275,10.31542485,0.141788568,0.001493808,0.00018626,0.000244383,0.000302667,0.098039216
276,10.31953686,-0.261059996,0.00314259,0.000421112,0.000853978,0.001221455,0.477272727
277,10.31995437,-0.233587934,0.003380569,0.000401892,0.000736905,0.001281668,0.545454545
278,10.32065103,-0.156682785,0.004479922,0.000515755,0.000464959,0.000801262,0.431818182
279,10.39236751,0.539269199,0.004896129,0.000663635,0.000365032,0.001184147,0.555555556
280,10.44054349,0.011112609,0.003707194,0.001321132,0.000554277,0.001713051,0.352941176
281,10.46062839,0.034093187,0.004671653,0.001024792,0.001714089,0.003272626,0.459016393
282,10.46872893,0.023543036,0.001824807,0.000202048,0.000311729,0.00081168,0.205128205
283,10.47251872,0.026755535,0.002697706,0.00048367,0.000352882,0.001300313,0.282051282
284,10.57004699,-0.04381791,0.001674372,0.000216372,0.000301733,0.000265903,0.230769231
285,10.5979246,-0.383544504,0.004846513,0.001276365,0.00086038,0.001434994,0.543859649
286,10.60875959,-0.028744789,0.002218797,0.000250916,0.000223855,0.000960125,0.333333333
287,10.61926642,-0.380317791,0.001501828,0.000276628,0.000137202,0.00016551,0.133333333
288,10.62249038,-0.38246038,0.005459258,0.000262554,0.000983303,0.000971568,0.111111111
289,10.62515586,-0.379985235,0.001544803,0.000315467,0.000278426,0.000373143,0.111111111
290,10.62624072,-0.372609513,0.002252379,0.000358952,0.000273739,0.001453136,0.203703704
291,10.62901122,-0.33800498,0.004700037,0.000609465,0.001242712,0.001624469,0.506849315
292,10.63075975,-0.38588624,0.002202776,0.000364902,0.000322115,0.000580107,0.266666667
293,10.67102058,-0.210254903,0.006130119,0.001192323,0.000669545,0.00198617,0.68627451
294,10.67440243,-0.024889078,0.001448812,0.000276636,0.00034178,0.00026921,0.275862069
295,10.67874135,-0.031100069,0.002416735,0.000329521,0.000307927,0.000899082,0.413793103
296,10.68047698,-0.027417291,0.001382667,0.000344256,0.000314568,0.000366905,0.379310345
297,10.68341653,-0.026025022,0.001506201,0.000473469,0.000361127,0.000429891,0.379310345
298,10.75197636,-0.368433504,0.002783585,0.000631547,0.000473403,0.000906186,0.24
299,10.752044,0.056094137,0.002947814,0.000560728,0.000838314,0.001634009,0.642857143
300,10.77464181,-0.045335307,0.001793992,0.000214629,0.00029583,0.000662568,0.153846154
301,10.8253811,-0.103267849,0.0022348,0.000786237,0.000267927,0.001310787,0.151515152
302,10.82542752,-0.009139438,0.00388064,0.00079929,0.00091449,0.001689081,0.339622642
303,10.85674653,0.063838731,0.00414731,0.000295134,0.00052673,0.001614493,0.25
