YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
2913,80.29493514,-1.796560034,0.0212,0.0039,6,0,0.0123,0.0018,6,0,0.0163,0.0018,6,0,0.1892,0.1769,6,0
2914,80.30853037,1.301610024,0.0867,0.0191,6,0,0.0241,0.0049,6,0,0.0291,0.0055,6,0,0.7061,0.2975,6,0
2915,80.31446025,2.40178466,0.0273,0.0032,6,0,0.0129,0.0017,6,0,0.0434,0.0057,6,0,0.3823,0.0512,6,0
2916,80.31645447,0.304290189,1.0858,0.1494,6,0,0.4841,0.0757,6,0,1.4682,0.2451,6,0,15.0901,1.6563,6,0
2917,80.32141238,2.405532101,0.0262,0.006,6,0,0.0133,0.0017,6,0,0.0365,0.0059,6,0,0.1598,0.0499,6,0
2918,80.33508261,-1.189902105,0.0132,0.0016,6,0,0.007,0.0021,6,0,0.0132,0.0035,6,0,0.0802,0.0538,6,0
2919,80.34069972,0.514924297,0.243,0.0921,6,0,0.1348,0.0497,6,0,0.6082,0.2144,6,0,8.313,1.9608,6,0
2920,80.34177737,-1.188871319,0.0231,0.0018,6,0,0.0098,0.001,6,0,0.0197,0.0019,6,0,0.2049,0.0585,6,0
2921,80.34999957,0.726491345,1.9871,0.8781,6,0,1.6528,0.5026,6,0,10.3919,2.3854,6,0,106.9398,31.1541,6,0
2922,80.35201554,0.710582501,1.2473,0.1533,6,0,0.5575,0.0823,6,0,3.1892,0.7758,6,0,77.7579,10.3567,6,0
2923,80.36234245,0.766161238,0.2297,0.0609,6,0,0.1479,0.0348,6,0,0.7449,0.1533,6,0,4.6608,1.4802,6,0
2924,80.39102179,0.81618702,0.1829,0.0443,6,0,0.0549,0.0064,6,0,0.0999,0.0099,6,0,1.9546,0.2174,6,0
2925,80.44002014,1.171463191,0.0515,0.0074,6,0,0.0192,0.0037,6,0,0.0912,0.0096,6,0,0.321,0.0553,6,0
2926,80.45214422,-1.056331289,0.0511,0.0146,6,0,0.0263,0.0107,6,0,0.0386,0.0111,6,0,0.18,0.0687,6,0
2927,80.47997385,-0.983689796,0.0652,0.0231,6,0,0.0294,0.0113,6,0,0.0345,0.0124,6,0,0.7295,0.3411,6,0
2928,80.48508341,-0.227226415,0.048,0.0016,6,0,0.0202,0.0022,6,0,0.0511,0.0031,6,0,1.0175,0.0449,6,0
2929,80.49343327,2.931520187,0.0258,0.0008,6,0,0.0223,0.0039,6,0,0.0603,0.0102,6,0,0.7292,0.1452,6,0
2930,80.5049491,2.922626788,0.0255,0.0049,6,0,0.0143,0.0025,6,0,0.0376,0.0068,6,0,0.3889,0.1046,6,0
2931,80.50909495,1.127351816,0.3446,0.0649,6,0,0.1483,0.0242,6,0,0.349,0.0616,6,0,4.7317,0.6677,6,0
2932,80.52206988,0.714883381,4.2605,1.4212,6,0,1.4642,0.5547,6,0,6.6705,2.0214,6,0,81.4011,20.796,6,0
2933,80.52555763,1.165110714,0.2483,0.0201,6,0,0.1122,0.0135,6,0,0.3839,0.0341,6,0,3.6111,0.26,6,0
2934,80.56928325,1.006646666,0.0615,0.0062,6,0,0.037,0.0081,6,0,0.0726,0.0138,6,0,0.9712,0.2999,6,0
2935,80.60653336,2.214877367,0.0398,0.0078,6,0,0.0217,0.0044,6,0,0.0369,0.0065,6,0,0.2533,0.0637,6,0
2936,80.61007233,1.299656342,0.2589,0.0207,6,0,0.0893,0.0126,6,0,0.1517,0.0155,6,0,4.4931,0.2618,6,0
2937,80.63360041,0.684803303,6.6558,0.2512,6,0,1.8661,0.2376,6,0,21.0871,1.5838,6,0,342.5058,37.6323,6,0
2938,80.63867223,0.677477797,4.1177,0.5583,6,0,1.0205,0.1056,6,0,11.0079,1.1821,6,0,91.5142,9.099,6,0
2939,80.68075478,1.264344026,0.1822,0.0186,6,0,0.0741,0.0067,6,0,0.1633,0.0166,6,0,2.7859,0.2321,6,0
2940,80.69411559,0.698681531,0.2318,0.0322,6,0,0.0291,0.0028,6,0,0.1398,0.0168,6,0,4.2508,0.8154,6,0
2941,80.6949118,0.309556562,0.0399,0.013,6,0,0.0236,0.0082,6,0,0.1073,0.0373,6,0,0.6555,0.2823,6,0
2942,80.69789991,0.693588487,1.6581,0.6758,6,0,0.5782,0.2719,6,0,1.9148,0.4342,6,0,44.2555,15.2446,6,0
2943,80.70859172,-1.360993335,0.0189,0.0027,6,0,0.0107,0.0013,6,0,0.0167,0.0016,6,0,0.1813,0.0471,6,0
2944,80.70863019,-0.237026375,0.0679,0.0127,6,0,0.028,0.0059,6,0,0.0512,0.0134,6,0,0.7404,0.1159,6,0
2945,80.7174645,1.113479773,0.2711,0.0258,6,0,0.1333,0.0226,6,0,0.3749,0.0614,6,0,3.2898,0.4968,6,0
2946,80.71790752,1.749991941,0.0656,0.0119,6,0,0.0384,0.0102,6,0,0.0718,0.0179,6,0,1.0034,0.1291,6,0
2947,80.71791992,-0.95780216,0.0563,0.0129,6,0,0.0351,0.0123,6,0,0.0636,0.0217,6,0,0.6651,0.2214,6,0
2948,80.72321654,-0.116594196,0.0724,0.0111,6,0,0.0301,0.0034,6,0,0.0742,0.0051,6,0,0.8573,0.0896,6,0
2949,80.73282016,2.092321072,0.0272,0.0078,6,0,0.1451,0.0156,6,0,2.1184,0.1707,6,0,1.6412,0.1359,6,0
2950,80.74535689,2.036442052,0.1002,0.0063,6,0,0.0395,0.0085,6,0,0.0963,0.0105,6,0,1.0969,0.1061,6,0
2951,80.76233351,2.324831111,0.0266,0.0013,6,0,0.0148,0.0011,6,0,0.0374,0.0024,6,0,0.2635,0.0359,6,0
2952,80.77242318,1.144329508,0.0313,0.0017,6,0,0.0157,0.0017,6,0,0.0506,0.0023,6,0,0.5136,0.0361,6,0
2953,80.77834121,2.347883394,0.0224,0.0032,6,0,0.0108,0.0014,6,0,0.0138,0.0019,6,0,0.0736,0.0249,6,0
2954,80.8214049,0.578402434,4.6339,0.4018,6,0,1.6156,0.1757,5,0,9.0745,0.565,5,0,63.4328,6.3481,6,0
2955,80.82508441,0.565467009,5.7869,0.9391,6,0,,,,,,,,,200.6779,40.0632,6,0
2956,80.82853572,-0.368629129,0.135,0.0236,6,0,0.0578,0.0113,6,0,0.1068,0.0185,6,0,2.0481,0.409,6,0
2957,80.83447475,2.208471545,0.0299,0.0168,6,0,0.0165,0.0067,6,0,0.0188,0.0075,6,0,0.1966,0.124,6,0
2958,80.8625772,1.198747096,0.7692,0.0093,5,0,0.2556,0.0158,6,0,1.6181,0.0697,6,0,15.9471,0.4839,6,0
2959,80.88759875,0.307452282,0.6798,0.0229,6,0,0.221,0.0148,6,0,0.971,0.0606,6,0,16.9856,1.0021,6,0
2960,80.88812749,-0.052858822,0.1513,0.0297,6,0,0.0616,0.0117,6,0,0.1855,0.0287,6,0,2.8515,0.4013,6,0
2961,80.89277685,1.827998207,0.0434,0.0133,6,0,0.0233,0.0059,6,0,0.0458,0.0094,6,0,0.6359,0.1433,6,0
2962,80.91294055,-0.060310354,0.0601,0.0082,6,0,0.0149,0.0011,6,0,0.0336,0.004,6,0,0.7194,0.1458,6,0
2963,80.92845708,1.215825417,0.141,0.0043,6,0,0.071,0.0069,6,0,0.2652,0.0123,6,0,2.3594,0.1377,6,0
2964,80.93504103,2.110463076,0.0617,0.0168,6,0,0.0368,0.0136,6,0,0.0569,0.0191,6,0,0.6195,0.2514,6,0
2965,80.93918342,-0.127355189,13.1012,8.0941,6,0,,,,,,,,,1760.1465,350.319,6,0
2966,80.96637467,-0.403374206,0.3104,0.0689,6,0,0.145,0.0449,6,0,0.1706,0.0581,6,0,2.9645,0.7616,6,0
2967,80.97794024,-0.585773036,0.2465,0.093,6,0,0.141,0.0628,6,0,0.2149,0.0773,6,0,3.303,1.1479,6,0
2968,80.98786755,-0.016882753,0.7941,0.034,6,0,0.308,0.0381,6,0,0.4488,0.0383,6,0,6.064,0.3039,6,0
2969,81.01093385,2.214097143,0.0457,0.0062,6,0,0.0185,0.0023,6,0,0.0604,0.0063,6,0,1.1662,0.1092,6,0
2970,81.01481886,1.53795407,0.0596,0.0135,6,0,0.0339,0.0068,6,0,0.0664,0.0143,6,0,0.588,0.1319,6,0
2971,81.04821221,0.232403504,0.0432,0.0072,6,0,0.0178,0.0026,6,0,0.0441,0.0048,6,0,0.4538,0.0854,6,0
2972,81.10010564,-0.592466608,0.0885,0.0115,6,0,0.0365,0.004,6,0,0.0705,0.0066,6,0,0.9282,0.0645,6,0
2973,81.10623857,0.209595784,0.1157,0.0368,6,0,0.0682,0.0182,6,0,0.1591,0.0308,6,0,1.8856,0.3277,6,0
2974,81.10780807,2.035226735,0.0077,0.0009,6,0,0.0041,0.0007,6,0,0.0066,0.0006,6,0,0.0826,0.0301,6,0
2975,81.11127462,-0.145692551,3.2516,0.9816,6,0,1.1966,0.3839,6,0,2.3037,1.3246,5,0,50.8872,10.2564,6,0
2976,81.11845703,1.513554984,0.1161,0.0567,6,0,0.081,0.0218,6,0,0.1281,0.0325,6,0,1.1767,0.4125,6,0
2977,81.12236357,-0.13333239,6.6165,0.9268,6,0,2.0205,0.1868,6,0,,,,,300.4284,19.7993,6,0
2978,81.23260458,1.718120966,0.2121,0.0481,6,0,0.07,0.0142,6,0,0.4304,0.0254,6,0,3.8635,0.4897,6,0
2979,81.27041053,0.083226278,0.3418,0.1208,6,0,0.1529,0.0624,6,0,0.2947,0.1117,6,0,5.2933,1.7556,6,0
2980,81.27863146,2.230420133,0.515,0.1754,6,0,0.2178,0.071,6,0,0.3019,0.0733,6,0,7.0932,2.3062,6,0
2981,81.38045046,1.904210654,0.0251,0.0066,6,0,0.0146,0.0051,6,0,0.0203,0.0029,6,0,0.1459,0.0511,6,0
2982,81.42440219,1.006289118,0.7585,0.1287,6,0,0.2695,0.0579,6,0,0.6442,0.098,6,0,22.8898,2.8443,6,0
2983,81.42454784,0.690577777,0.8313,0.053,6,0,0.2787,0.0414,6,0,1.5085,0.1219,6,0,13.4708,1.2391,6,0
2984,81.43259597,0.71320077,1.3403,0.0853,6,0,0.6727,0.0961,6,0,1.845,0.1021,6,0,13.5444,1.4581,6,0
2985,81.44075488,0.475738444,4.2271,1.2544,6,0,1.7234,0.6277,6,0,6.1073,2.8614,6,0,113.9239,33.1018,6,0
2986,81.44212614,0.765954344,3.6621,1.536,6,0,1.1639,0.6066,6,0,2.9765,1.2082,6,0,49.1259,21.4627,6,0
2987,81.44577776,0.762475378,2.8543,1.0743,6,0,1.1218,0.4755,6,0,3.7179,0.754,6,0,53.6097,15.7513,6,0
